주차장관리번호,주차장명,주차장구분,주차장유형,소재지우편번호,소재지지번주소,소재지도로명주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,연락처,위도(WGS84좌표),경도(WGS84좌표),데이터기준일자
183-1-00054,판암1동 미리내아파트 주변,공영,노상,,대전광역시 동구 판암동 460번지,대전광역시 동구 판암1길,34,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-1-00055,판암동 복개도로 위(삼성전자 판매장 뒤),공영,노상,,대전광역시 동구 판암2동 598,대전광역시 동구 대동천우안1길,12,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-1-00056,심영목재상사 앞,공영,노상,,대전광역시 동구 삼성동 296-19,대전광역시 동구 대전로90번길,17,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-1-00057,대동복개도로(대동시장길),공영,노상,,대전광역시 동구 대동복개천(새들뫼@ 앞길),대전광역시 동구 대동복개천,10,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-1-00058,대동복개도로(대동시장길),공영,노상,,대전광역시 동구 대동복개천(새들뫼@ 앞길),대전광역시 동구 대동복개천,26,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-1-00059,용운동 선량마을 노상주차장,공영,노상,,대전광역시 동구 용운동 54,대전광역시 동구 대송길 27,5,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-1-00060,용운동 일방통행길(상행길),공영,노상,,대전광역시 동구 용운동 487~451-18,대전광역시 동구 용운로67,40,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-1-00061,녹색주차마을(용전동),공영,노상,,"대전광역시 동구 용전동 165-9, KT주변",대전광역시 동구 계족로 469번길,30,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-1-00062,녹색주차마을(용운동),공영,노상,,"대전광역시 동구 용운동 390-6, 시장길, 산성3길","대전광역시 동구 시장길, 산성3길",30,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-1-00063,녹색주차마을(자양동),공영,노상,,"대전광역시 동구 자양동 210-11,",대전광역시 동구 안터5길,43,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00064,한약·인쇄거리 노외공영주차장,공영,노외,,"대전광역시 동구 중동 9-5, 10-16",대전광역시 동구 태전로 27,100,1,미시행,평일,24시간,24시간,개방,개방,개방,개방,유료,15,400,15,300,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00065,정동 노외공영주차장,공영,노외,,대전광역시 동구 정동 3-4,대전광역시 동구 역전3길,44,1,미시행,평일,24시간,24시간,개방,개방,개방,개방,유료,15,400,15,300,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00066,대전천변 노외공영주차장,공영,노외,,대전광역시 동구 중동 51-16,대전광역시 동구 선화로 192번길,57,1,미시행,평일,24시간,24시간,개방,개방,개방,개방,유료,15,400,15,300,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00067,인동시장노외공영주차장,공영,노외,,대전광역시 동구 인동 30-1,대전광역시 동구 대전천동로,31,1,미시행,평일,24시간,24시간,개방,개방,개방,개방,유료,15,400,15,300,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00068,용전동노외공영주차장,공영,노외,,대전광역시 동구 용전동 143-22,대전광역시 동구 동서대로 1659,49,2,미시행,평일,24시간,24시간,개방,개방,개방,개방,유료,15,300,15,200,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00069,인동물류센터주변공영주차장,공영,노외,,대전광역시 동구 인동 44-10,대전광역시 동구 대전로 679,10,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00070,판암주공5·6단지주변공영주차장,공영,노외,,대전광역시 동구 판암동 237-2,대전광역시 동구 동부로 73,13,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00071,대동공영주차장,공영,노외,,대전광역시 동구 대동 25-15,대전광역시 동구 대동로 49,11,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00072,용전동주민센터옆공영주차장,공영,노외,,대전광역시 동구 용전동 28-34,대전광역시 동구 계족로 517번길,17,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00073,삼정동구정골마을공영주차장,공영,노외,,대전광역시 동구 삼정동 70번지,대전광역시 동구 세천공원로 20번길,10,3,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00074,세천4 공한지 주차장,공영,노외,,대전광역시 동구 세천동 321-4,대전광역시 동구 세천공원로35번길,5,3,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00075,세천5 공한지 주차장,공영,노외,,대전광역시 동구 세천동 18-21,대전광역시 동구 세천로,11,3,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00076,세천6 공한지 주차장,공영,노외,,대전광역시 동구 세천동 35-2,,10,3,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00077,세천7 공한지 주차장,공영,노외,,대전광역시 동구 세천동 47-11,,14,3,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00078,세천8 공한지 주차장,공영,노외,,대전광역시 동구 세천동 76-1,,9,3,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00079,낭월동 공한지 주차장,공영,노외,,대전광역시 동구 낭월동 584,,12,3,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00080,신상동 안아감마을 공동주차장,공영,노외,,대전광역시 동구 신상동 150-1,,40,3,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00081,천동 주차장,공영,노외,,대전광역시 동구 천동 513,,14,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00082,용전동 제2공영주차장(BBS부지),공영,노외,,대전광역시 동구 용전동 62-21,대전광역시 동구 동서대로,30,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00083,대동복지센터주차장,공영,노외,,대전광역시 동구 대동 1-8,대전광역시 동구 이화로35번길,19,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00084,가양동체육센터앞주차장,공영,노외,,대전광역시 동구 가양동 709-2,대전광역시 동구 가양로,18,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00085,신한은행 노외공영주차장(제2주차장),공영,노외,,대전광역시 동구 원동 51-12,대전광역시 동구 대전로 779번길 8,58,1,미시행,평일+토요일,24시간,24시간,24시간,24시간,개방,개방,유료,15,400,15,300,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00086,중앙시장 공영주차빌딩 주차장(제1주차장),공영,노외,,대전광역시 동구 원동 85-1,대전광역시 동구 중앙로 200번길 70,410,1,미시행,평일+토요일,24시간,24시간,24시간,24시간,개방,개방,유료,15,400,15,300,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00087,용운시장 주차장,공영,노외,,대전광역시 동구 용운 349-4,대전광역시 동구 새울로 91번길,22,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-2-00088,신도시장 주차장,공영,노외,,대전광역시 동구 가양2동 39-6,대전광역시 동구 비래서로42번길,30,2,미시행,개방,개방,개방,개방,개방,개방,개방,무료,,,,,,,,,,대전광역시 동구청,042-251-4904,,,2015-03-01
183-4-00089,한마음 주차장,민영,노외,,"대전광역시 동구 중동 51-22,23",대전광역시 동구 선화로 186번길,14,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00090,철마 주차장,민영,노외,,대전광역시 동구 정동 1-262,대전광역시 동구 역전1길,40,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00091,중앙 주차장,민영,노외,,대전광역시 동구 정동 31-28,대전광역시 동구 대전로 825번길 4,14,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00092,산호 주차장,민영,노외,,대전광역시 동구 가양2동 402-7,대전광역시 동구 동대전로 270,23,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00093,대전역 서광장(제1주차장),민영,노외,,대전광역시 동구 정 동? 1-1 ,대전광역시 동구 중앙로 215,78,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00094,대전역 서광장(제2주차장),민영,노외,,대전광역시 동구 정 동? 1-1 ,대전광역시 동구 중앙로 215 ,54,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00095,대전역 북광장 주차장,민영,노외,,대전광역시 동구 정 동? 1-1 ,대전광역시 동구 중앙로 215,44,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00096,하나 주차장,민영,노외,,"대전광역시 동구 정동 1-106, 107",대전광역시 동구 중앙로,53,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00097,하나 주차장,민영,노외,,"대전광역시 동구 정동 7-16,17,18 , 8-3",대전광역시 동구 대전로 847,20,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00098,풍년유료 주차장,민영,노외,,대전광역시 동구 용전동? 128-9,대전광역시 동구 계족로 460,30,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00099,정동 주차장,민영,노외,,대전광역시 동구 ?정동1-108,대전광역시 동구 창조3길 23,32,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00100,정동 주차장,민영,노외,,"대전광역시 동구  중동 31-55, 58, 20",대전광역시 동구 대전로 813번길,30,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00101,대전역 동광장주차장,민영,노외,,대전광역시 동구 ?소제동 293-3,대전광역시 동구 새둑길 143,148,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00102,중앙 주차장 (중앙극장자리),민영,노외,,대전광역시 동구 ?중동93-2  ,대전광역시 동구 대전로 791번길,57,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00103,삼성 주차장,민영,노외,,대전광역시 동구 ?삼성동272-5,대전광역시 동구 선화로 211-3,10,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00104,용전 주차장,민영,노외,,대전광역시 동구 ?용전동 145-35,대전광역시 동구 동서대로 1649,22,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00105,(자)금성동광장주차장,민영,노외,,"대전광역시 동구  소제동 291-11, 8",대전광역시 동구 새둑길 ,276,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00106,스타주차장,민영,노외,,"대전광역시 동구 중동 61-1, 8",대전광역시 동구 대전로 7,47,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00107,대전역 자재창고 주차장,민영,노외,,대전광역시 동구  소제동 291-6,대전광역시 동구 새둑길 143,231,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00108,국제 주차장,민영,노외,,대전광역시 동구 중동 15-3,대전광역시 동구 선화로 196번길,40,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00109,판암 주차장,민영,노외,,대전광역시 동구 판암2동243,대전광역시 동구 동부로43,47,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00110,동양물류센타 주차장,민영,노외,,대전광역시 동구 ?삼성동302-32외 3필지,대전광역시 동구 대전로906번길,50,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00111,롯데슈퍼 주차장,민영,노외,,대전광역시 동구 ?용운동 323-1,대전광역시 동구 동부로 73번길,15,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00112,용운주공 주차장,민영,노외,,대전광역시 동구 용운동 297-2,대전광역시 동구 용운로,20,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00113,노블레스주차장,민영,노외,,"대전광역시 동구 용전동 117-4, 5, 41",대전광역시 동구 계족로 ,53,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00114,파라다이스주차장,민영,노외,,대전광역시 동구 가양1동449-26외7,대전광역시 동구 동서대로 1704번길,504,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00115,노블레스주차장,민영,노외,,대전광역시 동구 용전동 117-15,대전광역시 동구 동서대로 1677,124,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00116,홍도동 주차장,민영,노외,,"대전광역시 동구 홍도동 50-43, 50-39",대전광역시 동구 동산초교로,9,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
